,Wind
0,12.0
1,11.0
2,19.0
3,27.0
4,14.0
5,13.0
6,24.0
7,12.0
8,16.0
9,23.0
10,9.0
11,21.0
12,17.0
13,10.0
14,16.0
15,19.0
16,26.0
17,15.0
18,14.0
19,13.0
20,21.0
21,15.0
22,25.0
23,16.0
24,12.0
25,9.0
26,9.0
27,18.0
28,24.0
29,19.0
30,15.0
31,12.0
32,10.0
33,27.0
34,13.0
35,16.0
36,11.0
37,15.0
38,14.0
39,13.0
40,18.0
41,13.0
42,19.0
43,14.0
44,16.0
45,26.0
46,18.0
47,18.0
48,21.0
49,10.0
50,19.0
51,18.0
52,20.0
53,17.0
54,16.0
55,14.0
56,25.0
57,11.0
58,19.0
59,15.0
60,11.0
61,21.0
62,15.0
63,13.0
64,13.0
65,19.0
66,15.0
67,12.0
68,16.0
69,19.0
70,11.0
71,22.0
72,20.0
73,18.0
74,25.0
75,27.0
76,9.0
77,16.0
78,15.0
79,9.0
80,12.0
81,8.0
82,13.0
83,10.0
84,15.0
85,17.0
86,14.0
87,20.0
88,26.0
89,7.0
90,10.0
91,6.0
92,24.0
93,20.0
94,37.0
95,7.0
96,22.0
97,20.0
98,10.0
99,14.0
100,14.0
101,11.0
102,12.0
103,17.0
104,24.0
105,8.0
106,22.0
107,17.0
108,16.0
109,15.0
110,18.0
111,25.0
112,24.0
113,11.0
114,31.0
115,30.0
116,18.0
117,9.0
118,15.0
119,21.0
120,14.0
121,26.0
122,14.0
123,17.0
124,8.0
125,18.0
126,13.0
127,23.0
128,19.0
129,14.0
130,20.0
131,17.0
132,11.0
133,16.0
134,24.0
135,17.0
136,17.0
137,11.0
138,17.0
139,19.0
140,23.0
141,13.0
142,20.0
143,15.0
144,21.0
145,11.0
146,10.0
147,18.0
148,13.0
149,18.0
150,12.0
151,13.0
152,21.0
153,18.0
154,21.0
155,11.0
156,14.0
157,26.0
158,29.0
159,18.0
160,16.0
161,14.0
162,22.0
163,13.0
164,25.0
165,21.0
166,16.0
167,35.0
168,23.0
169,34.0
170,27.0
171,11.0
172,20.0
173,17.0
174,24.0
175,19.0
176,19.0
177,8.0
178,19.0
179,13.0
180,20.0
181,16.0
182,21.0
183,23.0
184,10.0
185,13.0
186,14.0
187,20.0
188,20.0
189,15.0
190,20.0
191,16.0
192,30.0
193,12.0
194,21.0
195,15.0
196,10.0
197,6.0
198,10.0
199,10.0
200,15.0
201,24.0
202,17.0
203,18.0
204,11.0
205,20.0
206,10.0
207,19.0
208,14.0
209,10.0
210,22.0
211,15.0
212,11.0
213,16.0
214,10.0
215,16.0
216,22.0
217,0.0
218,19.0
219,15.0
220,20.0
221,12.0
222,15.0
223,13.0
224,23.0
225,9.0
226,10.0
227,9.0
228,8.0
229,17.0
230,9.0
231,17.0
