,Wind
0,24.0
1,13.0
2,12.0
3,12.0
4,20.0
5,11.0
6,20.0
7,9.0
8,21.0
9,14.0
10,15.0
11,13.0
12,23.0
13,32.0
14,16.0
15,22.0
16,12.0
17,11.0
18,11.0
19,15.0
20,11.0
21,12.0
22,19.0
23,13.0
24,12.0
25,10.0
26,11.0
27,9.0
28,12.0
29,15.0
30,9.0
31,9.0
32,13.0
33,13.0
34,16.0
35,12.0
36,15.0
37,21.0
38,17.0
39,15.0
40,27.0
41,10.0
42,15.0
43,22.0
44,9.0
45,13.0
46,13.0
47,9.0
48,16.0
49,24.0
50,8.0
51,22.0
52,8.0
53,17.0
54,9.0
55,34.0
56,20.0
57,22.0
58,12.0
59,7.0
60,22.0
61,22.0
62,9.0
63,23.0
64,20.0
65,10.0
66,13.0
67,26.0
68,19.0
69,26.0
70,15.0
71,11.0
72,26.0
73,12.0
74,10.0
75,19.0
76,11.0
77,14.0
78,13.0
79,19.0
80,9.0
81,17.0
82,27.0
83,13.0
84,10.0
85,12.0
86,14.0
87,14.0
88,12.0
89,15.0
90,10.0
91,11.0
92,14.0
93,16.0
94,11.0
95,13.0
96,27.0
97,8.0
98,16.0
99,17.0
100,11.0
101,14.0
102,6.0
103,19.0
104,15.0
105,17.0
106,22.0
107,11.0
108,21.0
109,16.0
110,24.0
111,13.0
112,23.0
113,14.0
114,21.0
115,10.0
116,15.0
117,15.0
118,31.0
119,11.0
120,22.0
121,13.0
122,7.0
123,10.0
124,25.0
125,14.0
126,18.0
127,13.0
128,24.0
129,14.0
130,13.0
131,11.0
132,13.0
133,18.0
134,15.0
135,22.0
136,15.0
137,12.0
138,16.0
139,17.0
140,21.0
141,12.0
142,22.0
143,13.0
144,8.0
145,14.0
146,29.0
147,12.0
148,17.0
149,15.0
150,16.0
151,12.0
152,23.0
153,15.0
154,11.0
155,15.0
156,12.0
157,17.0
158,11.0
159,11.0
160,15.0
161,13.0
162,12.0
163,9.0
164,13.0
165,19.0
166,17.0
167,14.0
168,25.0
169,23.0
170,32.0
171,11.0
172,19.0
173,16.0
174,11.0
175,27.0
176,16.0
177,10.0
178,17.0
179,16.0
180,14.0
181,29.0
182,23.0
183,11.0
184,16.0
185,22.0
186,22.0
187,19.0
188,15.0
189,7.0
190,18.0
191,21.0
192,8.0
193,19.0
194,10.0
195,25.0
196,24.0
197,11.0
198,22.0
199,12.0
200,13.0
201,26.0
202,19.0
203,23.0
204,24.0
205,10.0
206,23.0
207,20.0
208,18.0
209,22.0
210,16.0
211,18.0
212,12.0
213,26.0
214,14.0
215,15.0
216,11.0
217,16.0
218,15.0
219,10.0
220,18.0
221,21.0
222,11.0
223,17.0
224,17.0
225,35.0
226,12.0
227,22.0
228,15.0
229,10.0
230,13.0
231,26.0
232,15.0
233,17.0
234,10.0
235,14.0
236,23.0
237,13.0
238,27.0
239,10.0
240,20.0
241,18.0
242,25.0
243,14.0
244,29.0
245,16.0
246,10.0
247,9.0
248,12.0
249,17.0
250,13.0
251,11.0
252,21.0
253,19.0
254,20.0
255,17.0
256,23.0
257,8.0
258,12.0
259,14.0
260,27.0
261,14.0
262,18.0
263,17.0
264,17.0
265,13.0
266,14.0
267,24.0
268,19.0
269,23.0
270,17.0
271,16.0
272,13.0
273,9.0
274,13.0
275,13.0
276,24.0
277,18.0
278,14.0
279,12.0
280,9.0
281,10.0
282,12.0
283,21.0
284,17.0
285,19.0
286,16.0
287,13.0
288,9.0
289,15.0
290,16.0
291,20.0
292,11.0
293,16.0
294,11.0
295,7.0
296,8.0
297,8.0
298,24.0
299,14.0
300,16.0
301,8.0
302,22.0
303,11.0
304,17.0
305,8.0
306,12.0
307,14.0
308,14.0
309,12.0
310,24.0
311,15.0
312,12.0
313,20.0
314,20.0
315,22.0
316,8.0
317,7.0
318,21.0
319,9.0
320,10.0
321,21.0
322,9.0
323,8.0
324,17.0
325,16.0
326,6.0
327,22.0
328,17.0
329,21.0
330,13.0
331,22.0
332,15.0
333,34.9892
334,7.0
335,25.0
336,18.0
337,17.0
338,22.0
339,9.0
340,19.0
341,21.0
342,13.0
343,18.0
344,10.0
345,16.0
346,13.0
347,21.0
348,26.0
349,14.0
350,21.0
351,17.0
352,17.0
353,13.0
354,6.0
355,23.0
356,17.0
357,15.0
358,24.0
359,21.0
360,13.0
361,11.0
362,25.0
363,18.0
364,21.0
365,9.0
366,15.0
367,20.0
368,17.0
369,22.0
370,10.0
371,17.0
372,13.0
373,15.0
374,12.0
375,14.0
376,10.0
377,12.0
378,11.0
379,9.0
380,18.0
381,13.0
382,9.0
383,21.0
384,18.0
385,16.0
386,24.0
387,17.0
388,9.0
389,18.0
390,17.0
391,10.0
392,14.0
393,12.0
394,17.0
395,18.0
396,14.0
397,10.0
398,16.0
399,19.0
400,25.0
401,9.0
402,20.0
403,13.0
404,22.0
405,21.0
406,14.0
407,7.0
408,15.0
409,17.0
410,18.0
411,17.0
412,13.0
413,27.0
414,24.0
415,12.0
416,11.0
417,12.0
418,16.0
419,20.0
420,8.0
421,19.0
422,17.0
423,12.0
424,9.0
425,12.0
426,16.0
427,14.0
428,17.0
429,12.0
430,19.0
431,15.0
432,10.0
433,11.0
434,16.0
435,15.0
436,10.0
437,18.0
438,17.0
439,16.0
440,15.0
441,23.0
442,14.0
443,18.0
444,13.0
445,21.0
446,20.0
447,14.0
448,11.0
449,21.0
450,19.0
451,13.0
452,15.0
453,10.0
454,29.0
455,11.0
456,12.0
457,13.0
458,13.0
459,11.0
460,17.0
461,14.0
462,21.0
463,18.0
464,10.0
465,12.0
466,12.0
467,21.0
468,11.0
469,12.0
470,12.0
471,15.0
472,18.0
473,13.0
474,13.0
475,14.0
476,10.0
477,16.0
478,27.0
479,13.0
480,9.0
481,25.0
482,14.0
483,10.0
484,14.0
485,13.0
486,16.0
487,22.0
488,14.0
489,20.0
490,18.0
491,18.0
492,14.0
493,13.0
494,13.0
495,17.0
496,18.0
497,11.0
498,10.0
499,18.0
500,20.0
501,19.0
502,13.0
503,17.0
504,21.0
505,23.0
506,25.0
507,24.0
508,11.0
509,15.0
510,11.0
511,33.0
512,17.0
513,16.0
514,14.0
515,18.0
516,24.0
517,24.0
518,8.0
519,9.0
520,12.0
521,14.0
522,13.0
523,8.0
524,8.0
525,16.0
526,8.0
527,19.0
528,11.0
529,18.0
530,15.0
531,11.0
532,18.0
533,19.0
534,15.0
535,14.0
536,18.0
537,15.0
538,20.0
539,14.0
540,16.0
541,14.0
542,9.0
543,8.0
544,12.0
545,24.0
546,29.0
547,13.0
548,9.0
549,9.0
550,13.0
551,19.0
552,11.0
553,14.0
554,0.0
555,29.0
556,25.0
557,11.0
558,17.0
559,14.0
560,15.0
561,20.0
562,21.0
563,14.0
564,21.0
565,9.0
566,17.0
567,16.0
568,11.0
569,18.0
570,18.0
571,12.0
572,25.0
573,12.0
574,27.0
575,13.0
576,17.0
577,9.0
578,31.0
579,13.0
580,8.0
581,9.0
582,21.0
583,19.0
584,12.0
585,16.0
586,10.0
587,12.0
588,28.0
589,15.0
590,10.0
591,20.0
592,17.0
593,11.0
594,8.0
595,27.0
596,15.0
597,12.0
598,16.0
599,19.0
600,24.0
601,10.0
602,23.0
603,11.0
604,17.0
605,20.0
606,23.0
607,17.0
608,23.0
609,13.0
610,9.0
611,23.0
612,26.0
613,18.0
614,14.0
615,10.0
616,10.0
617,11.0
618,16.0
619,20.0
620,18.0
621,9.0
622,14.0
623,17.0
624,27.0
625,17.0
626,19.0
627,19.0
628,15.0
629,18.0
630,22.0
631,11.0
632,12.0
633,20.0
634,20.0
635,21.0
636,7.0
637,14.0
638,14.0
639,21.0
640,26.0
641,13.0
642,20.0
643,14.0
644,17.0
645,20.0
646,23.0
647,18.0
648,13.0
649,21.0
650,20.0
651,29.0
652,16.0
653,16.0
654,12.0
655,22.0
656,9.0
657,25.0
658,13.0
659,18.0
660,9.0
661,11.0
662,9.0
663,25.0
664,25.0
665,12.0
666,16.0
667,14.0
668,12.0
669,14.0
670,18.0
671,19.0
672,11.0
673,11.0
674,20.0
675,21.0
676,14.0
677,27.0
678,13.0
679,21.0
680,8.0
681,9.0
682,20.0
683,14.0
684,9.0
685,18.0
686,8.0
687,16.0
688,15.0
689,13.0
690,19.0
691,8.0
692,13.0
693,10.0
694,20.0
695,7.0
696,8.0
697,14.0
698,12.0
699,14.0
700,17.0
701,9.0
702,13.0
703,24.0
704,6.0
705,10.0
706,6.0
707,14.0
708,17.0
709,18.0
710,17.0
711,15.0
712,18.0
713,18.0
714,26.0
715,14.0
716,18.0
717,17.0
718,26.0
719,9.0
720,18.0
721,14.0
722,23.0
723,16.0
724,11.0
725,9.0
726,22.0
727,34.0
728,11.0
729,23.0
730,8.0
731,18.0
732,12.0
733,11.0
734,13.0
735,21.0
736,21.0
737,12.0
738,10.0
739,20.0
740,22.0
741,19.0
742,26.0
743,18.0
744,14.0
745,22.0
746,20.0
747,8.0
748,11.0
749,21.0
750,18.0
751,11.0
752,19.0
753,28.0
754,18.0
755,10.0
756,21.0
757,18.0
758,22.0
759,19.0
760,15.0
761,23.0
762,13.0
763,12.0
764,26.0
765,18.0
766,11.0
