,Wind
0,21.0
1,14.0
2,24.0
3,26.0
4,15.0
5,19.0
6,15.0
7,36.0
8,20.0
9,19.0
10,23.0
11,33.0
12,32.0
13,21.0
14,20.0
15,17.0
16,12.0
17,33.0
18,20.0
19,12.0
20,12.0
21,20.0
22,17.0
23,18.0
24,18.0
25,38.0
26,18.0
27,12.0
28,20.0
29,20.0
30,10.0
31,12.0
32,18.0
33,11.0
34,13.0
35,15.0
36,30.0
37,14.0
38,19.0
39,26.0
40,18.0
41,24.0
42,13.0
43,17.0
44,18.0
45,16.0
46,15.0
47,22.0
48,16.0
49,26.0
50,24.0
51,14.0
52,29.0
53,19.0
54,21.0
55,15.0
56,20.0
57,12.0
58,27.0
59,25.0
60,12.0
61,33.0
62,9.0
63,15.0
64,14.0
65,14.0
66,26.0
67,21.0
68,14.0
69,17.0
70,23.0
71,15.0
72,26.0
73,20.0
74,20.0
75,22.0
76,14.0
77,18.0
78,30.0
79,30.0
80,18.0
81,17.0
82,21.0
83,16.0
84,12.0
85,27.0
86,30.0
87,18.0
88,19.0
89,16.0
90,15.0
91,14.0
92,20.0
93,30.0
94,23.0
95,22.0
96,12.0
97,15.0
98,20.0
99,19.0
100,22.0
101,15.0
102,11.0
103,11.0
104,14.0
105,17.0
106,12.0
107,11.0
108,15.0
109,18.0
110,9.0
111,20.0
112,20.0
113,19.0
114,22.0
115,29.0
116,22.0
117,15.0
118,13.0
119,22.0
120,22.0
121,17.0
122,24.0
123,15.0
124,16.0
125,21.0
126,26.0
127,11.0
128,18.0
129,11.0
130,17.0
131,21.0
132,25.0
133,29.0
134,16.0
135,27.0
136,30.0
137,12.0
138,19.0
139,14.0
140,17.0
141,8.0
142,11.0
143,18.0
144,20.0
145,16.0
146,24.0
147,18.0
148,17.0
149,24.0
150,21.0
151,26.0
152,29.0
153,12.0
154,13.0
155,17.0
156,11.0
157,10.0
158,17.0
159,13.0
160,20.0
161,31.0
162,12.0
163,15.0
164,19.0
165,28.0
166,12.0
167,21.0
168,16.0
169,20.0
170,22.0
171,12.0
172,16.0
173,17.0
174,26.0
175,32.0
176,17.0
177,14.0
178,18.0
179,15.0
180,14.0
181,28.0
182,21.0
183,36.0
184,17.0
185,19.0
186,12.0
187,11.0
188,14.0
189,8.0
190,24.0
191,28.0
192,15.0
193,25.0
194,23.0
195,24.0
196,15.0
197,26.0
198,17.0
199,33.0
200,10.0
201,15.0
202,13.0
203,35.0
204,16.0
205,13.0
206,18.0
207,34.0
208,23.0
209,22.0
210,13.0
211,21.0
212,15.0
213,18.0
214,17.0
215,17.0
216,15.0
217,15.0
218,21.0
219,11.0
220,22.0
221,33.0
222,20.0
223,12.0
224,15.0
225,21.0
226,31.0
227,19.0
228,12.0
229,21.0
230,29.0
231,20.0
232,31.0
233,16.0
234,14.0
235,29.0
236,11.0
237,19.0
238,15.0
239,12.0
240,12.0
241,26.0
242,18.0
243,24.0
244,18.0
245,24.0
246,29.0
247,20.0
248,21.0
249,28.0
250,13.0
251,14.0
252,13.0
253,15.0
254,19.0
255,18.0
256,20.0
257,12.0
258,14.0
259,14.0
260,24.0
261,23.0
262,12.0
263,18.0
264,18.0
265,19.0
266,13.0
267,16.0
268,17.0
269,17.0
270,18.0
271,15.0
272,20.0
273,14.0
274,24.0
275,20.0
276,25.0
277,14.0
278,24.0
279,12.0
280,26.0
281,23.0
282,12.0
283,24.0
284,14.0
285,17.0
286,12.0
287,31.0
288,21.0
289,21.0
290,9.0
291,9.0
292,17.0
293,16.0
294,24.0
295,24.0
296,27.0
297,17.0
298,31.0
299,17.0
300,11.0
301,24.0
302,12.0
303,13.0
304,21.0
305,14.0
306,24.0
307,22.0
308,19.0
309,22.0
310,16.0
311,15.0
312,16.0
313,18.0
314,17.0
315,13.0
316,24.0
317,17.0
318,17.0
319,23.0
320,10.0
321,17.0
322,16.0
323,13.0
324,13.0
325,18.0
326,31.0
327,24.0
328,15.0
329,14.0
330,18.0
331,24.0
332,15.0
333,15.0
334,17.0
335,19.0
336,19.0
337,14.0
338,11.0
339,24.0
340,17.0
341,15.0
342,34.0
343,13.0
344,17.0
345,14.0
346,22.0
347,27.0
348,16.0
349,17.0
350,12.0
351,12.0
352,15.0
353,16.0
354,13.0
355,20.0
356,14.0
357,25.0
358,20.0
359,11.0
360,28.0
361,36.0
362,19.0
363,29.0
364,23.0
365,23.0
366,15.0
367,14.0
368,25.0
369,12.0
370,16.0
371,15.0
372,22.0
373,20.0
374,15.0
375,20.0
376,22.0
377,25.0
378,16.0
379,18.0
380,18.0
381,15.0
382,19.0
383,12.0
384,11.0
385,14.0
386,23.0
387,18.0
388,16.0
389,21.0
390,17.0
391,15.0
392,20.0
393,13.0
394,20.0
395,20.0
396,22.0
397,27.0
398,15.0
399,20.0
400,15.0
401,17.0
402,24.0
403,32.0
404,20.0
405,30.0
406,12.0
407,25.0
408,16.0
409,22.0
410,10.0
411,29.0
412,23.0
413,17.0
414,15.0
415,23.0
416,18.0
417,29.0
418,18.0
419,16.0
420,17.0
421,14.0
422,20.0
423,17.0
424,14.0
425,21.0
426,10.0
427,21.0
428,17.0
429,17.0
430,10.0
431,18.0
432,16.0
433,20.0
434,24.0
435,47.0
436,12.0
437,17.0
438,43.0
439,10.0
440,7.0
441,14.0
442,27.0
443,24.0
444,15.0
445,20.0
446,18.0
447,22.0
448,14.0
449,22.0
450,16.0
451,14.0
452,32.0
453,24.0
454,9.0
455,21.0
456,11.0
457,11.0
458,12.0
459,22.0
460,32.0
461,19.0
462,16.0
463,21.0
464,17.0
465,15.0
466,19.0
467,26.0
468,18.0
469,15.0
470,25.0
471,15.0
472,20.0
