,Wind
0,14.0
1,9.0
2,19.0
3,28.0
4,24.0
5,25.0
6,26.0
7,20.0
8,18.0
9,16.0
10,19.0
11,34.0
12,20.0
13,14.0
14,20.0
15,18.0
16,12.0
17,12.0
18,15.0
19,28.0
20,16.0
21,30.0
22,15.0
23,14.0
24,15.0
25,15.0
26,11.0
27,19.0
28,22.0
29,15.0
30,17.0
31,16.0
32,18.0
33,29.0
34,16.0
35,20.0
36,22.0
37,24.0
38,25.0
39,16.0
40,16.0
41,19.0
42,12.0
43,19.0
44,17.0
45,27.0
46,15.0
47,19.0
48,23.0
49,30.0
50,18.0
51,17.0
52,17.0
53,15.0
54,10.0
55,8.0
56,20.0
57,18.0
58,27.0
59,25.0
60,17.0
61,11.0
62,29.0
63,14.0
64,16.0
65,26.0
66,18.0
67,19.0
68,18.0
69,13.0
70,15.0
71,20.0
72,28.0
73,22.0
74,23.0
75,24.0
76,21.0
77,12.0
78,13.0
79,19.0
80,14.0
81,18.0
82,21.0
83,16.0
84,24.0
85,29.0
86,30.0
87,20.0
88,21.0
89,31.0
90,16.0
91,17.0
92,16.0
93,21.0
94,14.0
95,26.0
96,32.0
97,30.0
98,29.0
99,12.0
100,20.0
101,11.0
102,23.0
103,18.0
104,32.0
105,12.0
106,14.0
107,22.0
108,13.0
109,19.0
110,37.0
111,35.0
112,12.0
113,15.0
114,22.0
115,12.0
116,33.0
117,17.0
118,13.0
119,18.0
120,10.0
121,18.0
122,35.0
123,22.0
124,22.0
125,35.0
126,22.0
127,16.0
128,15.0
129,26.0
130,15.0
131,15.0
132,14.0
133,19.0
134,15.0
135,29.0
136,19.0
137,17.0
138,20.0
139,17.0
140,7.0
141,25.0
142,16.0
143,11.0
144,32.0
145,31.0
146,22.0
147,18.0
148,15.0
149,17.0
150,29.0
151,13.0
152,23.0
153,32.0
154,21.0
155,14.0
156,23.0
157,26.0
158,11.0
159,10.0
160,13.0
161,11.0
162,32.0
163,19.0
164,17.0
165,16.0
166,14.0
167,19.0
168,17.0
169,23.0
170,14.0
171,16.0
172,11.0
173,16.0
174,13.0
175,15.0
176,17.0
177,19.0
178,17.0
179,9.0
180,16.0
181,20.0
182,20.0
183,27.0
184,13.0
185,16.0
186,16.0
187,12.0
188,26.0
189,27.0
190,19.0
191,12.0
192,16.0
193,19.0
194,12.0
195,20.0
196,33.0
197,19.0
198,20.0
199,12.0
200,12.0
201,15.0
202,12.0
203,13.0
204,22.0
205,27.0
206,22.0
207,17.0
208,18.0
209,14.0
210,23.0
211,13.0
212,12.0
213,17.0
214,14.0
215,14.0
216,24.0
217,0.0
218,15.0
219,31.0
220,31.0
221,14.0
222,23.0
223,13.0
224,10.0
225,13.0
226,12.0
227,9.0
228,22.0
229,20.0
230,18.0
231,15.0
232,31.0
233,12.0
234,12.0
235,15.0
236,13.0
237,11.0
238,27.0
239,13.0
240,20.0
241,13.0
242,17.0
243,19.0
244,15.0
245,22.0
246,18.0
247,18.0
248,24.0
249,34.0
250,28.0
251,22.0
252,19.0
253,43.0
254,14.0
255,10.0
256,36.0
257,14.0
258,21.0
259,21.0
260,16.0
261,23.0
262,16.0
263,19.0
264,16.0
265,25.0
266,10.0
267,9.0
268,12.0
269,27.0
270,28.0
271,17.0
272,19.0
273,27.0
274,19.0
275,16.0
276,31.0
277,19.0
278,22.0
279,16.0
280,23.0
281,26.0
282,30.0
283,30.0
284,22.0
285,10.0
286,18.0
287,30.0
288,13.0
289,34.0
290,33.0
291,16.0
292,19.0
293,16.0
294,20.0
295,15.0
296,20.0
297,24.0
298,14.0
299,12.0
300,21.0
301,13.0
302,26.0
303,16.0
304,20.0
305,24.0
306,28.0
307,24.0
308,17.0
309,23.0
310,35.0
311,15.0
312,20.0
313,12.0
314,29.0
315,12.0
316,24.0
317,15.0
318,14.0
319,23.0
320,15.0
321,19.0
322,28.0
323,15.0
324,19.0
325,14.0
326,17.0
327,12.0
328,20.0
329,13.0
330,19.0
331,13.0
332,11.0
333,11.0
334,24.0
335,9.0
336,13.0
337,13.0
338,15.0
339,21.0
340,12.0
341,15.0
342,15.0
343,29.0
344,40.0
345,16.0
346,19.0
347,19.0
348,13.0
349,18.0
350,16.0
351,16.0
352,22.0
353,12.0
354,23.0
355,22.0
356,13.0
357,17.0
358,32.0
359,19.0
360,24.0
361,19.0
362,21.0
363,10.0
364,22.0
365,11.0
366,27.0
367,32.0
368,20.0
369,29.0
370,21.0
371,19.0
372,25.0
373,16.0
374,17.0
375,15.0
376,14.0
377,14.0
378,14.0
379,9.0
380,24.0
381,15.0
382,15.0
383,17.0
384,21.0
385,21.0
386,13.0
387,23.0
388,11.0
389,17.0
390,23.0
391,16.0
392,12.0
393,18.0
394,23.0
395,9.0
396,24.0
397,30.0
398,14.0
399,14.0
400,22.0
401,10.0
402,15.0
403,22.0
404,12.0
405,17.0
406,16.0
407,24.0
408,24.0
409,9.0
410,19.0
411,11.0
412,13.0
413,15.0
414,15.0
415,22.0
416,22.0
417,23.0
418,30.0
419,14.0
420,15.0
421,14.0
422,10.0
423,15.0
424,15.0
425,17.0
426,14.0
427,18.0
428,15.0
429,15.0
430,30.0
431,14.0
432,11.0
433,14.0
434,18.0
435,22.0
436,31.0
437,17.0
438,23.0
439,18.0
440,12.0
441,18.0
442,13.0
443,14.0
444,27.0
445,19.0
446,18.0
447,31.0
448,22.0
449,20.0
450,16.0
451,18.0
452,15.0
453,18.0
454,15.0
455,25.0
456,12.0
457,14.0
458,26.0
459,10.0
460,26.0
461,20.0
462,28.0
463,10.0
464,25.0
465,22.0
466,26.0
467,17.0
468,11.0
469,29.0
470,18.0
471,24.0
472,18.0
473,20.0
474,19.0
475,19.0
476,13.0
477,16.0
478,12.0
479,23.0
480,17.0
481,13.0
482,21.0
483,8.0
484,19.0
485,17.0
486,30.0
487,13.0
488,21.0
489,12.0
490,12.0
491,15.0
492,20.0
493,15.0
494,28.0
495,17.0
496,14.0
497,17.0
498,16.0
499,12.0
500,31.0
501,21.0
502,13.0
503,9.0
504,24.0
505,14.0
506,33.0
507,23.0
508,19.0
509,16.0
510,20.0
511,13.0
512,13.0
513,13.0
514,30.0
515,13.0
516,21.0
517,13.0
518,19.0
519,24.0
520,22.0
521,13.0
522,21.0
523,10.0
524,31.0
525,9.0
526,14.0
527,12.0
528,13.0
529,32.0
530,10.0
531,22.0
532,16.0
533,27.0
534,12.0
535,25.0
536,39.0
537,16.0
538,29.0
539,32.0
540,37.0
541,12.0
542,14.0
543,13.0
544,16.0
545,14.0
546,27.0
547,22.0
548,18.0
549,10.0
550,17.0
551,15.0
552,15.0
553,15.0
554,11.0
555,27.0
556,17.0
557,21.0
558,16.0
559,28.0
560,28.0
561,27.0
562,16.0
563,13.0
564,12.0
565,20.0
566,25.0
567,13.0
568,14.0
569,32.0
570,18.0
571,23.0
572,40.0
573,26.0
574,19.0
575,25.0
576,14.0
577,22.0
578,20.0
579,33.0
580,18.0
581,24.0
582,25.0
583,32.0
584,25.0
585,16.0
586,14.0
587,21.0
588,18.0
589,18.0
590,28.0
591,16.0
592,24.0
593,31.0
594,19.0
595,11.0
596,21.0
597,18.0
598,15.0
599,17.0
600,13.0
601,23.0
602,20.0
603,14.0
604,14.0
605,23.0
606,20.0
607,32.0
608,20.0
609,10.0
610,13.0
611,17.0
612,28.0
613,15.0
614,15.0
615,16.0
616,11.0
617,15.0
618,20.0
619,21.0
620,16.0
621,12.0
622,33.0
623,15.0
624,26.0
625,13.0
626,16.0
627,19.0
628,16.0
629,19.0
630,26.0
631,9.0
632,15.0
633,15.0
634,26.0
635,22.0
636,22.0
637,10.0
638,15.0
639,15.0
640,24.0
641,18.0
642,32.0
643,10.0
644,14.0
645,15.0
646,10.0
647,24.0
648,27.0
649,15.0
650,22.0
651,26.0
652,21.0
653,47.0
654,21.0
655,23.0
656,16.0
657,30.0
658,29.0
659,17.0
660,17.0
661,19.0
662,13.0
663,27.0
664,20.0
665,17.0
666,33.0
667,14.0
668,22.0
669,11.0
670,33.0
671,22.0
672,22.0
673,32.0
674,30.0
675,36.0
676,24.0
677,30.0
678,12.0
679,28.0
680,23.0
681,23.0
682,25.0
683,19.0
684,18.0
685,17.0
686,22.0
687,33.0
688,13.0
689,14.0
690,9.0
691,29.0
692,15.0
693,15.0
694,13.0
695,16.0
696,15.0
697,17.0
698,18.0
699,18.0
700,21.0
701,22.0
702,15.0
703,21.0
704,17.0
705,16.0
706,7.0
707,19.0
708,16.0
709,20.0
710,15.0
711,24.0
712,14.0
713,24.0
714,20.0
715,16.0
