,Wind
0,15.0
1,17.0
2,15.0
3,11.0
4,18.0
5,6.0
6,11.0
7,17.0
8,10.0
9,12.0
10,11.0
11,9.0
12,23.0
13,13.0
14,6.0
15,14.0
16,11.0
17,16.0
18,8.0
19,12.0
20,15.0
21,12.0
22,6.0
23,21.0
24,14.0
25,8.0
26,9.0
27,19.0
28,13.0
29,9.0
30,13.0
31,10.0
32,16.0
33,11.0
34,13.0
35,6.0
36,11.0
37,6.0
38,12.0
39,17.0
40,19.0
41,11.0
42,15.0
43,8.0
44,9.0
45,12.0
46,10.0
47,10.0
48,16.0
49,9.0
50,15.0
51,21.0
52,12.0
53,8.0
54,11.0
55,16.0
56,31.0
57,6.0
58,8.0
59,8.0
60,16.0
61,13.0
62,8.0
63,20.0
64,10.0
65,15.0
66,11.0
67,8.0
68,11.0
69,15.0
70,14.0
71,7.0
72,11.0
73,22.0
74,14.0
75,11.0
76,17.0
77,15.0
78,10.0
79,11.0
80,13.0
81,12.0
82,14.0
83,11.0
84,8.0
85,11.0
86,19.0
87,18.0
88,20.0
89,9.0
90,20.0
91,11.0
92,22.0
93,17.0
94,16.0
95,7.0
96,17.0
97,9.0
98,8.0
99,15.0
100,10.0
101,11.0
102,19.0
103,18.0
104,13.0
105,7.0
106,15.0
107,8.0
108,9.0
109,12.0
110,8.0
111,26.0
112,8.0
113,7.0
114,8.0
115,12.0
116,16.0
117,8.0
118,6.0
119,8.0
120,11.0
121,7.0
122,9.0
123,16.0
124,18.0
125,12.0
126,11.0
127,14.0
128,10.0
129,17.0
130,11.0
131,19.0
132,9.0
133,5.0
134,10.0
135,19.0
136,11.0
137,17.0
138,22.0
139,7.0
140,6.0
141,15.0
142,9.0
143,20.0
144,20.0
145,7.0
146,17.0
147,18.0
148,14.0
149,12.0
150,9.0
151,13.0
152,12.0
153,16.0
154,9.0
155,11.0
156,14.0
157,13.0
158,15.0
159,9.0
160,23.0
161,9.0
162,10.0
163,19.0
164,4.0
165,8.0
166,19.0
167,8.0
168,12.0
169,10.0
170,13.0
171,16.0
172,7.0
173,19.0
174,10.0
175,10.0
176,28.0
177,10.0
178,9.0
179,11.0
180,12.0
181,12.0
182,23.0
183,9.0
184,7.0
185,15.0
186,14.0
187,19.0
188,9.0
189,13.0
190,15.0
191,15.0
192,16.0
193,6.0
194,8.0
195,16.0
196,6.0
197,8.0
198,11.0
199,11.0
200,7.0
201,9.0
202,15.0
203,11.0
204,9.0
205,16.0
206,17.0
207,10.0
208,10.0
209,12.0
210,34.0
211,9.0
212,5.0
213,18.0
214,15.0
215,7.0
216,9.0
217,7.0
218,12.0
219,19.0
220,17.0
221,16.0
222,9.0
223,7.0
224,10.0
225,12.0
226,8.0
227,20.0
228,16.0
229,7.0
230,9.0
231,8.0
232,14.0
233,27.0
234,21.0
235,23.0
236,17.0
237,8.0
238,8.0
239,18.0
240,21.0
241,28.0
242,10.0
243,14.0
244,10.0
245,9.0
246,28.0
247,9.0
248,14.0
249,18.0
250,17.0
251,12.0
252,5.0
253,6.0
254,9.0
255,13.0
256,10.0
257,10.0
258,13.0
259,9.0
260,22.0
261,8.0
262,12.0
263,16.0
264,10.0
